email;ICO;nazov firmy;popis_firmy;telefon;adresa
sekretariat@lasalle.sk;42258120;Spojená škola de La Salle;Gymnázium;244 881 705;Čachtická 14, 83106 Bratislava
riaditelstvo@gamca.sk;17337101;Gymnázium, Grösslingová 18, Bratislava;Gymnázium;252 963 097;Grösslingová 18, 81109 Bratislava
bsu@bsu-bratislava.com;31801722;Súkromná bulharská základná škola, Záporožská č. 8, Bratislava a Súkromné bulharské gymnázium Christa Boteva, Záporožská č. 8, Bratislava;Gymnázium;911 126 644;Záporožská 8, 85101 Bratislava
kbnm@kbnm.sk;226866;Knižnica Bratislava Nové Mesto;Knižnično - informačné služby, nové knihy, časopisy. Oddelenia: odborné, beletria, pre deti a mládež, čitáreň.;244 253 985;Pionierska 12, 83102 Bratislava
studovna@nczisk.sk;;Národné centrum zdravotníckych informácií, Slovenská lekárska knižnica;Knižničné služby. Študovňa.;257 269 703;Lazaretská 26, 81109 Bratislava
gaburjakova@kniznicapetrzalka.sk;260355;Miestna knižnica Petržalka;Knižničné a informačné služby.;262 250 232;Kutlíkova 17, 85102 Bratislava
huska@kniznicapetrzalka.sk;260355;Miestna knižnica Petržalka;Knižničné a informačné služby.;02 625 204 16;Kutlíkova 17, 85102 Bratislava
riaditelka@istracentrum.sk;30810493;Istra centrum;Prevádzkovanie centra voľného času, kultúrneho domu a knižnice.;264 360 045;Hradištná 43, 84107 Bratislava
kniznica@kniznica-ruzinov.sk;226815;Knižnica Ružinov;Univerzálna, všeobecná knižnica určená pre všetky vekové, sociálne a profesijné skupiny.;244 454 704;Tomášikova 25, 82101 Bratislava
kniznica@flaw.uniba.sk;;Univerzita Komenského v Bratislave, Knižnica Právnickej fakulty UK;Knižničné služby. Študovňa.;290 129 213;Šafárikovo nám. 6, 81000 Bratislava
navrat@navrat.sk;;Návrat;Pomoc opusteným deťom pri hľadaní rodiny, záujemcom o náhradné rodičovstvo a náhradným rodičom. Iniciovanie zmien v sociálnom systéme.;02 / 524 443 61;Pluhová 1, 831 03 Bratislava
jozefinum@gmail.com;;Občianske združenie - DOBROTA SV. ALŽBETY;Občianske združenie prevádzkujúce zariadenie sociálnej služby pobytovou formou.;902 804 245;Pod Brehmi 4/A, 841 03 Bratislava
info@domusbene.sk;;DOMUS BENE - DOM DOBRA, o.z.;Domov sociálnych služieb - ubytovanie v 1 alebo 2-lôžkových izbách so samostatnou kúpeľňou a WC, poskytovanie ošetrovateľskej a zdravotnej starostlivosti, voľnočasové aktivity.;02 / 459 229 22;Slnečné jazerá – Juh 2238, 903 01 Senec
svetprevsetkych@gmail.com;;Sociálno - ekologické hnutie Svet pre Všetkých;Sociálno - ekologické hnutie Svet pre všetkých - realizácia projektov na pomoc ľuďom, zvieratám, prírode, zbierky a petície, súťaže a akcie.;;Vilová 6, 851 01 Bratislava
info@hospic-slnecnica.sk;;Občianske združenie - SLNEČNICA Slovensko;Poskytovanie služieb starým, chorým a ľuďom v núdzi. Opatrovateľská, ošetrovateľská a hospicová starostlivosť v domácom prostredí pacienta. Požičovňa zdravotníckych pomôcok.;915 290 304;Svätovojtešská 40, 831 03 Bratislava
info@provida.sk;;PRO VIDA;Pomoc znevýhodneným ľuďom a ľuďom zo sociálne slabších skupín pri integrácii do pracovného a spoločenského života.;;Štúrova 3, 831 01 Bratislava
info@mladezulice.sk;;Mládež ulice;Zlepšovanie kvality života detí a mládeže zo sociálne znevýhodneného prostredia, pomoc deťom budovať základy pre plnohodnotný život.;903 184 253;Cyprichova 22, 831 54 Bratislava
malaika@integra.sk;;Malaika;Občianske združenie zamerané na pomoc biednym a opusteným deťom v Afrike.;02 / 572 035 18;Dobšinského 14, 811 05 Bratislava
martina.utesena@gmail.com;;Dvojfarebný svet;Pomoc deťom v rozvojových krajinách a na Slovensku, vytvorenie prijateľných zdravotných a sociálnych podmienok.;;Opletalova 84, 841 07 Bratislava
direktor@savio.sk;;SAVIO o. z.;Občianske združenie, ktoré pomáha v núdzi ohrozeným deťom a mladým ľuďom v málo rozvinutých krajinách a regiónoch.;910 123 579;Miletičova 7, 821 08 Bratislava
betania.partizanska@gmail.com;;Diakonické združenie Betánia;Účelové zariadenie Cirkvi bratskej Betánia. Opatrovateľská služba - terénna sociálna služba, ktorá je poskytovaná občanom v ich prirodzenom sociálnom prostredí. Je určená pre starších ľudí.;02 / 544 355 50;Partizánska 6, 811 03 Bratislava
dcpredeti@dcpredeti.sk;;Diagnostické centrum pre deti;Občianske združenie na pomoc deťom a mladým ľuďom do 18 rokov, ktorí žijú kratší alebo dlhší čas na ulici.;02 / 433 382 28;Slovinská 1, 821 04 Bratislava
samaria.centrum@gmail.com;;Občianske združenie SAMARIA;Dobrovoľnícke združenie, ktorého cieľom je adresne, konkrétne a účinne pomáhať a vytvárať priestor na pomoc ľuďom v kríze.;911 132 828;Železničná č. 2, 920 01 Hlohovec
modryanjel@modryanjel.sk;;Modrý anjel - Tím krízovej intervencie n. o.;Špecializovaný tím zameraný na zmierňovanie a likvidáciu následkov krízových situácií v akútnej fáze po mimoriadnej udalosti.;944 171 272;Klincová 2136/35, 821 08 Bratislava
magnificat@stonline.sk;;Magnificat Slovakia o.z.;Občianske združenie - zakladanie modlitbových skupín, pomoc sociálne a zdravotne postihnutým, charitatívna činnosť.;02 / 526 210 33;Belinského 24, 851 01 Bratislava
oznalade@oznalade.sk;;OZ Na ľade;Občianske združenie. Podpora športových aktivít sociálne znevýhodnených detí.;;Stavbárska 54, 82107 Bratislava
senior@alzbetindom.sk;;ALŽBETIN DOM, o.z.;Základné sociálne poradenstvo, pomoc pri odkázanosti fyzickej osoby na pomoc inej fyzickej osoby, sociálna rehabilitácia, ošetrovateľská starostlivosť. Ubytovanie a stravovanie.;02 / 455 294 51;Slnečné jazerá - juh č. 2765/438, 903 01 Senec
info@footprintsinthesand.sk;;Footprints in the sand;Občianske združenie na pomoc matkám a ich deťom v krajinách tretieho sveta. Podpora vzdelávania, ochrana zdravia, charitatívna pomoc.;949 770 185;Záleská 10, 90045 Malinovo
m.bednarikova@missionlife.sk;;OZ Mission Life;Občianske združenie. Pomoc mladým ľuďom z detských domovov, deťom zo sociálne slabších rodín a pomoc rodinám v núdzi.;;Zelená 2, 811 01 Bratislava
activus@activus.sk;;ACTIVUS, občianske združenie;Pomoc zdravotne, sociálne a inak znevýhodneným jednotlivcom pri ich uplatňovaní sa na trhu práce.;903 556 237;Osadná 16, 831 03 Bratislava-Nové Mesto
ozdetidunaja@gmail.com;;Občianske združenie - Deti Dunaja;Humánna podpora opustených, týraných a postihnutých detí. Kultúrne podujatia a aktivity pre deti - tematické tvorivé ateliéry, letné tvorivé dielne, bábkové divadlo.;917 177 156;Škultétyho 1, 831 03 Bratislava
info@kmotricky.sk;;Šanca pre nechcených;Občianske združenie starajúce sa o nechcené a odložené deti. Poskytovanie pomoci opusteným matkám v krízových situáciách a zaopatrovanie odkázaných seniorov.;02 / 644 612 34;Fedákova 5, 841 01 Bratislava
pribehy@ozmedzinami.sk;;Občianske združenie Medzi nami;Pomoc ľuďom a rodinám v núdzi, sociálne slabším rodinám a rodinám so zdravotne postihnutým členom na preklenutie problémov. Spolupráca s časopisom Nota Bene.;905 240 389;Gercenova 2, 851 01 Bratislava
neos@bjb.sk;;Občianske združenie NEOS;Pomoc v aktivitách na rozvoj a budovanie medziľudských vzťahov, vzájomnú pomoc a solidaritu medzi ľuďmi, riešenie sociálnych a spoločenských problémov v duchu kresťanských hodnôt.;911 447 171;Černyševského 9, 851 01 Bratislava
info@ozsvetluska.sk;;Občianské združenie SVETLUŠKA;Podpora a pomoc sociálne slabším skupinám a útulkom pre zvieratá. Spoločenské, kultúrne a športové podujatia. Rehabilitačno-rekreačné pobyty pre deti. Liečba mentálnych postihov.;;Trnavská 100, 82009 Bratislava
charitas.budmerice@gmail.com;;Charitas Budmerice, o.z.;Charitatívna činnosť, sociálna pomoc, organizovanie zbierok šatstva, obuvi, potravín a nábytku.;915 437 485;J.Holčeka 37, 900 86 Budmerice
deti.patria.rodicom@gmail.com;;Občianske združenie Deti patria rodičom;Občianske združenie s cieľom pomáhať rodinám, ktorým boli sociálnymi službami neprávom odobraté deti, pomoc týraným matkám, žijúcim v zahraničí.;949 656 490;Romanova 5, 851 02 Bratislava-Petržalka
ozpinus@ozpinus.sk;;Pinus, o.z.;Občianske združenie s cieľom pomôcť zdravotne a duševne postihnutým osobám.;903 603 903;Jašíkova 24, 821 03 Bratislava
ba@centrumbasic.sk;36077895;Študijné centrum BASIC, n.o.;Doučovanie čítania, písania, slovenskej gramatiky a matematiky pre deti aj dospelých. Semináre a kurzy o učení.;905 462 885;Lazaretská 23, 81109 Bratislava
ozmajmesrdce@gmail.com;;;Majme Srdce;;Budatínska 3230/16 851 06 Bratislava - mestská časť Petržalka
utulok@slobodazvierat.sk;;SLOBODA ZVIERAT - útulok;;421216187;Pod brehmi 1/a 84101 Bratislava IV
upsejmatere@gmail.com;;U psej matere;Útulky pre psov a iné zvieratá v Pezinku;4,21906E+11;Holubyho 83 90201 Pezinok
riaditel@zsdrienova.sk;17337631;Základná škola, Drieňová 16, Bratislava;Základná škola;243 631 774;Drieňová 16, 82103 Bratislava
skola@spmndag.sk;31787088;Základná škola, Teplická 7, Bratislava;Základná škola;244 253 892;Teplická 7, 83102 Bratislava
szs@paneuroszs.sk;31789188;Základná škola, Ružová dolina 29, Bratislava;Základná škola;253 412 593;Ružová dolina 29, 82109 Bratislava
intelekt@intelekt.sk;30866952;Základná škola, Znievska 2, Bratislava;Základná škola;903 382 064;Znievska 2, 85106 Bratislava
zsmh@zsmh.sk;31810969;Základná škola, Škarniclova 1, Bratislava;Základná škola;254 411 323;Škarniclova 1, 81101 Bratislava
zsadubceka@centrum.sk;31780504;Základná škola, Majerníkova 62, Bratislava;Základná škola;265 444 864;Majerníkova 62, 84105 Bratislava
ba@iwaldorf.sk;36069833;Základná škola, Vihorlatská 10, Bratislava;Základná škola;244 642 604;Vihorlatská 10, 83104 Bratislava
zsvrutocka@pobox.sk;31780831;Základná škola, Vrútocká 58, Bratislava;Základná škola;243 293 722;Vrútocká 58, 82104 Bratislava
skola@zssokolikova.sk;36071021;Základná škola, Sokolíkova 2, Bratislava;Základná škola;264 282 404;Sokolíkova 2, 84101 Bratislava
sekretariat.zsbielba@gmail.com;31780741;Základná škola, Bieloruská 1, Bratislava;Základná škola;245 246 141;Bieloruská 1, 82106 Bratislava
webmaster.zsraba@gmail.com;31780717;Základná škola, Rajčianska 3, Bratislava;Základná škola;245 242 962;Rajčianska 3, 82107 Bratislava
info@zsbiskupicka.sk;31748201;Základná škola, Biskupická 21, Bratislava;Základná škola;245 644 714;Biskupická 21, 82106 Bratislava
zsbenovskeho@gmail.com;36071048;Základná škola, Beňovského 1, Bratislava;Základná škola;264 365 900;Beňovského 1, 84101 Bratislava
sekretariat@zsmatkyalexie.eu;17318858;Základná škola, Palackého 1, Bratislava;Základná škola;254 433 741;Palackého 1, 81102 Bratislava
zsostredkova@zsostredkova.sk;31780822;Základná škola, Ostredková 14, Bratislava;Základná škola;243 415 376;Ostredková 14, 82102 Bratislava
skola.vetvar@gmail.com;31748198;Základná škola, Vetvárska 7, Bratislava;Základná škola;245 248 667;Vetvárska 7, 82106 Bratislava
zsholicska@zsholicka.sk;31780491;Základná škola, Holíčska 50, Bratislava;Základná škola;263 810 206;Holíčska 50, 85105 Bratislava
skola@zskuliskova.sk;31780792;Základná škola, Kulíškova 8, Bratislava;Základná škola;911 972 775;Kulíškova 8, 82108 Bratislava
zsbudatinska@gmail.com;31781977;Základná škola, Budatínska 61, Bratislava;Základná škola;263 531 173;Budatínska 61, 85106 Bratislava
info@skolalamac.sk;42170915;Základná škola, Malokarpatské námestie 1, Bratislava;Základná škola;264 780 640;Malokarpatské námestie 1, 84103 Bratislava
zsmierova.ba@gmail.com;31780750;Základná škola, Mierová 46, Bratislava;Základná škola;243 292 180;Mierová 46, 82105 Bratislava
zsdudova@zsdudovaba.edu.sk;31780547;Základná škola, Dudova 2, Bratislava;Základná škola;263 820 909;Dudova 2, 85102 Bratislava
info@zsmedzilaba.eu;31780776;Základná škola, Medzilaborecká 11, Bratislava;Základná škola;243 631 103;Medzilaborecká 11, 82101 Bratislava
zsgessayova@gmail.com;31771475;Základná škola, Gessayova 2, Bratislava;Základná škola;262 525 421;Gessayova 2, 85103 Bratislava
heldova@zspodzaba.sk;31745041;Základná škola, Podzáhradná 51, Bratislava;Základná škola;245 243 151;Podzáhradná 51, 82107 Bratislava
funiversity@funiversity.sk;35941618;Základná škola, Gajova 21, Bratislava;Základná škola;904 942 750;Gajova 21, 81109 Bratislava
zs@nejedleho.sk;36060976;Základná škola, Nejedlého 8, Bratislava;Základná škola;264 530 006;Nejedlého 8, 84102 Bratislava
school@cambridgeschool.eu;35807181;Základná škola, Úprkova 3, Bratislava;Základná škola;220 720 679;Úprkova 3, 81104 Bratislava
zshlboka.ba@gmail.com;31810934;Základná škola, Hlboká cesta 4, Bratislava;Základná škola;265 498 776;Hlboká cesta 4, 81104 Bratislava
tajomnik@narnia.sk;30809193;Základná škola, Beňadická 38, Bratislava;Základná škola;232 111 555;Beňadická 38, 85101 Bratislava
tajomnicka.nobelba@gmail.com;31754953;Základná škola, Nobelovo nám. 6, Bratislava;Základná škola;263 451 333;Nobelovo nám. 6, 85101 Bratislava
riaditelka@zsmsursule.sk;50429256;Základná škola, Nedbalova 4, Bratislava;Základná škola;254 432 778;Nedbalova 4, 81101 Bratislava
info@deutscheschule.sk;36076082;Základná škola, Palisády 51, Bratislava;Základná škola;220 422 810;Palisády 51, 81106 Bratislava
riaditel@zstuba.edu.sk;31771424;Základná škola, Turnianska 10, Bratislava;Základná škola;263 828 826;Turnianska 10, 85107 Bratislava
vedenie@zstbiliska.sk;31768849;Základná škola, Tbiliská 4, Bratislava;Základná škola;244 887 971;Tbiliská 4, 83106 Bratislava
zsrd@zsrd.sk;31748180;Základná škola, Ružová dolina 29, Bratislava;Základná škola;253 413 278;Ružová dolina 29, 82109 Bratislava
riaditelstvo@zsprokofievova.petrzalka.sk;31754911;Základná škola, Prokofievova 1, Bratislava;Základná škola;947 487 911;Prokofievova 1, 85101 Bratislava
riaditelka@tilgnerka.edu.sk;31750214;Základná škola, Tilgnerova 14, Bratislava;Základná škola;265 422 545;Tilgnerova 14, 84105 Bratislava
bukovcana3@gmail.com;31780865;Základná škola, Ivana Bukovčana 3, Bratislava;Základná škola;264 778 338;Ivana Bukovčana 3, 84108 Bratislava
gunisova@gjh.sk;36075213;Základná škola, Novohradská 3, Bratislava;Základná škola;221 028 301;Novohradská 3, 82109 Bratislava
skola@mudronka.sk;36064092;Základná škola, Mudroňova 83, Bratislava;Základná škola;262 802 050;Mudroňova 83, 81103 Bratislava
secretariat@efib.sk;30846510;Základná škola, Marie Curie-Sklodowskej 1, Bratislava;Základná škola;905 944 663;Marie Curie-Sklodowskej 1, 85104 Bratislava
info@zs-tupolevova.sk;31754961;Základná škola, Tupolevova 20, Bratislava;Základná škola;263 532 260;Tupolevova 20, 85101 Bratislava
zsceska@zsceska.sk;31780539;Základná škola, Česká 10, Bratislava;Základná škola;244 372 631;Česká 10, 83103 Bratislava
skola@zscerba.edu.sk;31754929;Základná škola, Černyševského 8, Bratislava;Základná škola;262 243 854;Černyševského 8, 85101 Bratislava
zsdubova1ba@gmail.com;31810926;Základná škola, Dubová 1, Bratislava;Základná škola;254 771 703;Dubová 1, 81104 Bratislava
skolahorova@mail.t-com.sk;36067334;Základná škola, Pavla Horova 16, Bratislava;Základná škola;264 538 463;Pavla Horova 16, 84009 Bratislava
zsjanapavla@gmail.com;42263352;Základná škola, Osloboditeľská 27, Bratislava;Základná škola;243 712 323;Osloboditeľská 27, 83107 Bratislava
zsnevadzova2@centrum.sk;30810647;Základná škola, Nevädzová 2, Bratislava;Základná škola;243 293 165;Nevädzová 2, 82101 Bratislava
